candidate_id,indicator_id,bps_var_id,year,resolved_th_id,selected_turvar_id,selected_turvar_label,selected_turth_id,source_title,source_unit,source_definition,source_note,source_last_update,claim_type,methodology_regime,raw_snapshot_path,raw_snapshot_sha256
safe_drinking_water_access,adequate_drinking_water_access,352,2019,119,0,Tidak ada,0,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak Menurut Kabupaten/Kota,Persen,"Catatan: 
1. Sejak tahun 2019, konsep yang digunakan mengacu pada metadata SDGs dimana rumah tangga dikatakan memiliki akses air minum layak (access to improved water) yaitu jika sumber air minum utama yang digunakan adalah leding, air terlindungi, dan air hujan. Air terlindungi mencakup sumur bor/pompa, sumur terlindung dan mata air terlindung. Bagi rumah tangga yang menggunakan sumber air minum berupa air kemasan, maka rumah tangga dikategorikan memiliki akses air minum layak jika sumber air untuk mandi/cuci berasal dari leding, sumur bor/pompa, sumur terlindung, mata air terlindung, dan air hujan.

2. Data tahun 2019-2020 merupakan data Backcasting","Sumber : BPS,  Survei Sosial Ekonomi Nasional (Susenas).
Data dikutip dari Publikasi Provinsi Sumatera Barat dalam Angka",2026-04-07 02:07:20,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,data/processed/bps/m28_stage2b_full_history/var-352/2019.json,a2cfad08833335161985bcbbdd5ac25ba69b1ff31c471455efe26c6219c07edf
safe_drinking_water_access,adequate_drinking_water_access,352,2020,120,0,Tidak ada,0,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak Menurut Kabupaten/Kota,Persen,"Catatan: 
1. Sejak tahun 2019, konsep yang digunakan mengacu pada metadata SDGs dimana rumah tangga dikatakan memiliki akses air minum layak (access to improved water) yaitu jika sumber air minum utama yang digunakan adalah leding, air terlindungi, dan air hujan. Air terlindungi mencakup sumur bor/pompa, sumur terlindung dan mata air terlindung. Bagi rumah tangga yang menggunakan sumber air minum berupa air kemasan, maka rumah tangga dikategorikan memiliki akses air minum layak jika sumber air untuk mandi/cuci berasal dari leding, sumur bor/pompa, sumur terlindung, mata air terlindung, dan air hujan.

2. Data tahun 2019-2020 merupakan data Backcasting","Sumber : BPS,  Survei Sosial Ekonomi Nasional (Susenas).
Data dikutip dari Publikasi Provinsi Sumatera Barat dalam Angka",2026-04-07 02:07:20,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,352,2021,121,0,Tidak ada,0,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak Menurut Kabupaten/Kota,Persen,"Catatan: 
1. Sejak tahun 2019, konsep yang digunakan mengacu pada metadata SDGs dimana rumah tangga dikatakan memiliki akses air minum layak (access to improved water) yaitu jika sumber air minum utama yang digunakan adalah leding, air terlindungi, dan air hujan. Air terlindungi mencakup sumur bor/pompa, sumur terlindung dan mata air terlindung. Bagi rumah tangga yang menggunakan sumber air minum berupa air kemasan, maka rumah tangga dikategorikan memiliki akses air minum layak jika sumber air untuk mandi/cuci berasal dari leding, sumur bor/pompa, sumur terlindung, mata air terlindung, dan air hujan.

2. Data tahun 2019-2020 merupakan data Backcasting","Sumber : BPS,  Survei Sosial Ekonomi Nasional (Susenas).
Data dikutip dari Publikasi Provinsi Sumatera Barat dalam Angka",2026-04-07 02:07:20,observed,susenas_sdgs_adequate_drinking_water,data/processed/bps/m28_stage2b_full_history/var-352/2021.json,528887b3e18c52ac92404edf089757f0316bfd5ec316a8032131e0583f134621
safe_drinking_water_access,adequate_drinking_water_access,352,2022,122,0,Tidak ada,0,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak Menurut Kabupaten/Kota,Persen,"Catatan: 
1. Sejak tahun 2019, konsep yang digunakan mengacu pada metadata SDGs dimana rumah tangga dikatakan memiliki akses air minum layak (access to improved water) yaitu jika sumber air minum utama yang digunakan adalah leding, air terlindungi, dan air hujan. Air terlindungi mencakup sumur bor/pompa, sumur terlindung dan mata air terlindung. Bagi rumah tangga yang menggunakan sumber air minum berupa air kemasan, maka rumah tangga dikategorikan memiliki akses air minum layak jika sumber air untuk mandi/cuci berasal dari leding, sumur bor/pompa, sumur terlindung, mata air terlindung, dan air hujan.

2. Data tahun 2019-2020 merupakan data Backcasting","Sumber : BPS,  Survei Sosial Ekonomi Nasional (Susenas).
Data dikutip dari Publikasi Provinsi Sumatera Barat dalam Angka",2026-04-07 02:07:20,observed,susenas_sdgs_adequate_drinking_water,data/processed/bps/m28_stage2b_full_history/var-352/2022.json,c15f2ec8dce10b39ffe4c71077e5d1b65dced253a1371c621183803afb1c9070
safe_drinking_water_access,adequate_drinking_water_access,352,2023,123,0,Tidak ada,0,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak Menurut Kabupaten/Kota,Persen,"Catatan: 
1. Sejak tahun 2019, konsep yang digunakan mengacu pada metadata SDGs dimana rumah tangga dikatakan memiliki akses air minum layak (access to improved water) yaitu jika sumber air minum utama yang digunakan adalah leding, air terlindungi, dan air hujan. Air terlindungi mencakup sumur bor/pompa, sumur terlindung dan mata air terlindung. Bagi rumah tangga yang menggunakan sumber air minum berupa air kemasan, maka rumah tangga dikategorikan memiliki akses air minum layak jika sumber air untuk mandi/cuci berasal dari leding, sumur bor/pompa, sumur terlindung, mata air terlindung, dan air hujan.

2. Data tahun 2019-2020 merupakan data Backcasting","Sumber : BPS,  Survei Sosial Ekonomi Nasional (Susenas).
Data dikutip dari Publikasi Provinsi Sumatera Barat dalam Angka",2026-04-07 02:07:20,observed,susenas_sdgs_adequate_drinking_water,data/processed/bps/m28_stage2b_full_history/var-352/2023.json,a0158af4ca462ff7912af5bc72e8034e3edc8e9393b62fd02740d86422d0965d
safe_drinking_water_access,adequate_drinking_water_access,352,2024,124,0,Tidak ada,0,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak Menurut Kabupaten/Kota,Persen,"Catatan: 
1. Sejak tahun 2019, konsep yang digunakan mengacu pada metadata SDGs dimana rumah tangga dikatakan memiliki akses air minum layak (access to improved water) yaitu jika sumber air minum utama yang digunakan adalah leding, air terlindungi, dan air hujan. Air terlindungi mencakup sumur bor/pompa, sumur terlindung dan mata air terlindung. Bagi rumah tangga yang menggunakan sumber air minum berupa air kemasan, maka rumah tangga dikategorikan memiliki akses air minum layak jika sumber air untuk mandi/cuci berasal dari leding, sumur bor/pompa, sumur terlindung, mata air terlindung, dan air hujan.

2. Data tahun 2019-2020 merupakan data Backcasting","Sumber : BPS,  Survei Sosial Ekonomi Nasional (Susenas).
Data dikutip dari Publikasi Provinsi Sumatera Barat dalam Angka",2026-04-07 02:07:20,observed,susenas_sdgs_adequate_drinking_water,data/processed/bps/m28_stage2b_full_history/var-352/2024.json,a47b19d1c2b1b55347bda3c583dc82ac46325ca3c7fc8c4ffc1ff664c4e19f38
safe_drinking_water_access,adequate_drinking_water_access,352,2025,125,0,Tidak ada,0,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak Menurut Kabupaten/Kota,Persen,"Catatan: 
1. Sejak tahun 2019, konsep yang digunakan mengacu pada metadata SDGs dimana rumah tangga dikatakan memiliki akses air minum layak (access to improved water) yaitu jika sumber air minum utama yang digunakan adalah leding, air terlindungi, dan air hujan. Air terlindungi mencakup sumur bor/pompa, sumur terlindung dan mata air terlindung. Bagi rumah tangga yang menggunakan sumber air minum berupa air kemasan, maka rumah tangga dikategorikan memiliki akses air minum layak jika sumber air untuk mandi/cuci berasal dari leding, sumur bor/pompa, sumur terlindung, mata air terlindung, dan air hujan.

2. Data tahun 2019-2020 merupakan data Backcasting","Sumber : BPS,  Survei Sosial Ekonomi Nasional (Susenas).
Data dikutip dari Publikasi Provinsi Sumatera Barat dalam Angka",2026-04-07 02:07:20,observed,susenas_sdgs_adequate_drinking_water,data/processed/bps/m28_stage2b_full_history/var-352/2025.json,3062e47a97c37944712202224a9da1cba91ba03c20529f4182d2b5134383d5f4
sanitation_access_adequate,adequate_sanitation_access,341,2018,118,0,Tidak ada,0,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak Menurut Kabupaten/Kota,Persen,"Sumber : BPS,  Survei Sosial Ekonomi Nasional (Susenas)",Data dikutip dari Publikasi Provinsi Sumatera Barat dalam Angka,2026-04-07 01:43:31,observed,susenas_adequate_sanitation,data/processed/bps/m28_stage2b_full_history/var-341/2018.json,ac98508798803ef69933b8c1cf2a2e6a7e21f35ddf7477d1e5d915818eefd6ae
sanitation_access_adequate,adequate_sanitation_access,341,2019,119,0,Tidak ada,0,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak Menurut Kabupaten/Kota,Persen,"Sumber : BPS,  Survei Sosial Ekonomi Nasional (Susenas)",Data dikutip dari Publikasi Provinsi Sumatera Barat dalam Angka,2026-04-07 01:43:31,observed,susenas_adequate_sanitation,data/processed/bps/m28_stage2b_full_history/var-341/2019.json,07211ee6f1d98669f2002ce31975ea070672e62b98b0b8cb770cd5e1cbb5e70e
sanitation_access_adequate,adequate_sanitation_access,341,2020,120,0,Tidak ada,0,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak Menurut Kabupaten/Kota,Persen,"Sumber : BPS,  Survei Sosial Ekonomi Nasional (Susenas)",Data dikutip dari Publikasi Provinsi Sumatera Barat dalam Angka,2026-04-07 01:43:31,observed,susenas_adequate_sanitation,data/processed/bps/m28_stage2b_full_history/var-341/2020.json,fb8b810900fc299d286bc7c85ac8a5de0d05e71cba5150440466f6e8014d26d9
